Otazka;Spravna_odpoved;Odpoved_2;Odpoved_3;Odpoved_4
"Jaký je standard pro kabeláž používaný v moderních sítích?";"T568B";"T568A";"Cat6";"RJ-45"
"Co je to VLAN (Virtual Local Area Network)?";"Virtuální síť, která odděluje provoz na úrovni přepínačů";"Reálná síť pro propojení zařízení";"Fyzické rozdělení sítě";"Rychlostní pásmo v síti"
"Jaké zařízení se používá pro připojení k internetu?";"Směrovač (Router)";"Přepínač (Switch)";"Opakovač (Repeater)";"Přístupový bod (Access Point)"
"Jaký parametr má vliv na rychlost portů u přepínačů?";"Rychlost portů (např. 10/100 Mbps, 1 Gbps, 10 Gbps)";"Počet portů";"Typ kabelu";"Podpora PoE"
"Jaké jsou možnosti zabezpečení na směrovači?";"Firewall, VPN, NAT, DHCP";"Pouze VPN a firewall";"Připojení k internetu";"Možnost změny IP adresy"
"Co je potřeba pro správnou konfiguraci datového rozvaděče?";"Správné uspořádání zařízení a kabeláže v rackové skříni";"Pouze připojení k internetu";"Připojení všech zařízení k napájení";"Nastavení přístupových bodů"
"Jaký je hlavní rozdíl mezi Cat6 a Cat7?";"Cat7 má vyšší rychlost a stínění";"Cat6 je levnější";"Cat6 má lepší dosah";"Cat7 podporuje více zařízení"
"Jaká zařízení jsou obvykle součástí datového rozvaděče?";"Patch panely, switch, router, napájecí panel, kabelové organizéry";"Přepínače a směrovače";"Pouze kabely a napájecí panely";"Opakovače a přístupové body"
"Co je důležité při plánování datového rozvaděče?";"Zjistit počet zařízení a vybrat vhodnou velikost rackové skříně";"Vybrat pouze přepínače";"Připojit zařízení bez plánu";"Použít pouze optické kabely"
"Co je součástí konfigurace switchů?";"Nastavení VLAN, QoS, port security";"Nastavení pouze IP adresy";"Připojení k internetu";"Nastavení šířky pásma"
